,Status of existing checking account,Duration in months,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Credit risk,Number of Accounts
0,less_than_0_dm,6,critical_account,radio_television,1169,unknown_or_no_savings_account,7_more_years,4,male_single,none,4,real_estate,67,none,own,2,skilled_employee,1,yes,yes,0,1
1,0_to_200_dm,48,existing_credits_paid_back_till_now,radio_television,5951,less_than_100_dm,1_4_years,2,female_divorced_separated_married,none,2,real_estate,22,none,own,1,skilled_employee,1,none,yes,1,2
2,no_checking_account,12,critical_account,education,2096,less_than_100_dm,4_7_years,2,male_single,none,3,real_estate,49,none,own,1,unskilled_resident,2,none,yes,0,1
3,less_than_0_dm,42,existing_credits_paid_back_till_now,furniture_equipment,7882,less_than_100_dm,4_7_years,2,male_single,guarantor,4,savings_agreement_life_insurance,45,none,for_free,1,skilled_employee,2,none,yes,0,1
4,less_than_0_dm,24,delay_in_past,car_new,4870,less_than_100_dm,1_4_years,3,male_single,none,4,unknown_or_no_property,53,none,for_free,2,skilled_employee,2,none,yes,1,2
5,no_checking_account,36,existing_credits_paid_back_till_now,education,9055,unknown_or_no_savings_account,1_4_years,2,male_single,none,4,unknown_or_no_property,35,none,for_free,1,unskilled_resident,2,yes,yes,0,1
6,no_checking_account,24,existing_credits_paid_back_till_now,furniture_equipment,2835,500_to_1000_dm,7_more_years,3,male_single,none,4,savings_agreement_life_insurance,53,none,own,1,skilled_employee,1,none,yes,0,1
7,0_to_200_dm,36,existing_credits_paid_back_till_now,car_used,6948,less_than_100_dm,1_4_years,2,male_single,none,2,car_or_other,35,none,rent,1,management_self_employed_highly_qualified,1,yes,yes,0,1
8,no_checking_account,12,existing_credits_paid_back_till_now,radio_television,3059,greater_than_1000_dm,4_7_years,2,male_divorced_separated,none,4,real_estate,61,none,own,1,unskilled_resident,1,none,yes,0,1
9,0_to_200_dm,30,critical_account,car_new,5234,less_than_100_dm,unemployed,4,male_married_widowed,none,2,car_or_other,28,none,own,2,management_self_employed_highly_qualified,1,none,yes,1,2
10,0_to_200_dm,12,existing_credits_paid_back_till_now,car_new,1295,less_than_100_dm,0_1_year,3,female_divorced_separated_married,none,1,car_or_other,25,none,rent,1,skilled_employee,1,none,yes,1,2
11,less_than_0_dm,48,existing_credits_paid_back_till_now,business,4308,less_than_100_dm,0_1_year,3,female_divorced_separated_married,none,4,savings_agreement_life_insurance,24,none,rent,1,skilled_employee,1,none,yes,1,2
12,0_to_200_dm,12,existing_credits_paid_back_till_now,radio_television,1567,less_than_100_dm,1_4_years,1,female_divorced_separated_married,none,1,car_or_other,22,none,own,1,skilled_employee,1,yes,yes,0,1
13,less_than_0_dm,24,critical_account,car_new,1199,less_than_100_dm,7_more_years,4,male_single,none,4,car_or_other,60,none,own,2,unskilled_resident,1,none,yes,1,2
14,less_than_0_dm,15,existing_credits_paid_back_till_now,car_new,1403,less_than_100_dm,1_4_years,2,female_divorced_separated_married,none,4,car_or_other,28,none,rent,1,skilled_employee,1,none,yes,0,1
15,less_than_0_dm,24,existing_credits_paid_back_till_now,radio_television,1282,100_to_500_dm,1_4_years,4,female_divorced_separated_married,none,2,car_or_other,32,none,own,1,unskilled_resident,1,none,yes,1,2
16,no_checking_account,24,critical_account,radio_television,2424,unknown_or_no_savings_account,7_more_years,4,male_single,none,4,savings_agreement_life_insurance,53,none,own,2,skilled_employee,1,none,yes,0,1
17,less_than_0_dm,30,no_credits_taken,business,8072,unknown_or_no_savings_account,0_1_year,2,male_single,none,3,car_or_other,25,bank,own,3,skilled_employee,1,none,yes,0,1
18,0_to_200_dm,24,existing_credits_paid_back_till_now,car_used,12579,less_than_100_dm,7_more_years,4,female_divorced_separated_married,none,2,unknown_or_no_property,44,none,for_free,1,management_self_employed_highly_qualified,1,yes,yes,1,2
19,no_checking_account,24,existing_credits_paid_back_till_now,radio_television,3430,500_to_1000_dm,7_more_years,3,male_single,none,2,car_or_other,31,none,own,1,skilled_employee,2,yes,yes,0,1
20,no_checking_account,9,critical_account,car_new,2134,less_than_100_dm,1_4_years,4,male_single,none,4,car_or_other,48,none,own,3,skilled_employee,1,yes,yes,0,1
21,less_than_0_dm,6,existing_credits_paid_back_till_now,radio_television,2647,500_to_1000_dm,1_4_years,2,male_single,none,3,real_estate,44,none,rent,1,skilled_employee,2,none,yes,0,1
22,less_than_0_dm,10,critical_account,car_new,2241,less_than_100_dm,0_1_year,1,male_single,none,3,real_estate,48,none,rent,2,unskilled_resident,2,none,no,0,1
23,0_to_200_dm,12,critical_account,car_used,1804,100_to_500_dm,0_1_year,3,male_single,none,4,savings_agreement_life_insurance,44,none,own,1,skilled_employee,1,none,yes,0,1
24,no_checking_account,10,critical_account,furniture_equipment,2069,unknown_or_no_savings_account,1_4_years,2,male_married_widowed,none,1,car_or_other,26,none,own,2,skilled_employee,1,none,no,0,1
25,less_than_0_dm,6,existing_credits_paid_back_till_now,furniture_equipment,1374,less_than_100_dm,1_4_years,1,male_single,none,2,real_estate,36,bank,own,1,unskilled_resident,1,yes,yes,0,1
26,no_checking_account,6,no_credits_taken,radio_television,426,less_than_100_dm,7_more_years,4,male_married_widowed,none,4,car_or_other,39,none,own,1,unskilled_resident,1,none,yes,0,1
27,greater_than_200_dm,12,all_credits_paid_back,radio_television,409,greater_than_1000_dm,1_4_years,3,female_divorced_separated_married,none,3,real_estate,42,none,rent,2,skilled_employee,1,none,yes,0,1
28,0_to_200_dm,7,existing_credits_paid_back_till_now,radio_television,2415,less_than_100_dm,1_4_years,3,male_single,guarantor,2,real_estate,34,none,own,1,skilled_employee,1,none,yes,0,1
29,less_than_0_dm,60,delay_in_past,business,6836,less_than_100_dm,7_more_years,3,male_single,none,4,unknown_or_no_property,63,none,own,2,skilled_employee,1,yes,yes,1,2
30,0_to_200_dm,18,existing_credits_paid_back_till_now,business,1913,greater_than_1000_dm,0_1_year,3,male_married_widowed,none,3,real_estate,36,bank,own,1,skilled_employee,1,yes,yes,0,1
31,less_than_0_dm,24,existing_credits_paid_back_till_now,furniture_equipment,4020,less_than_100_dm,1_4_years,2,male_single,none,2,car_or_other,27,stores,own,1,skilled_employee,1,none,yes,0,1
32,0_to_200_dm,18,existing_credits_paid_back_till_now,car_new,5866,100_to_500_dm,1_4_years,2,male_single,none,2,car_or_other,30,none,own,2,skilled_employee,1,yes,yes,0,1
33,no_checking_account,12,critical_account,business,1264,unknown_or_no_savings_account,7_more_years,4,male_single,none,4,unknown_or_no_property,57,none,rent,1,unskilled_resident,1,none,yes,0,1
34,greater_than_200_dm,12,existing_credits_paid_back_till_now,furniture_equipment,1474,less_than_100_dm,0_1_year,4,female_divorced_separated_married,none,1,savings_agreement_life_insurance,33,bank,own,1,management_self_employed_highly_qualified,1,yes,yes,0,1
35,0_to_200_dm,45,critical_account,radio_television,4746,less_than_100_dm,0_1_year,4,male_single,none,2,savings_agreement_life_insurance,25,none,own,2,unskilled_resident,1,none,yes,1,2
36,no_checking_account,48,critical_account,education,6110,less_than_100_dm,1_4_years,1,male_single,none,3,unknown_or_no_property,31,bank,for_free,1,skilled_employee,1,yes,yes,0,1
37,greater_than_200_dm,18,existing_credits_paid_back_till_now,radio_television,2100,less_than_100_dm,1_4_years,4,male_single,co_applicant,2,real_estate,37,stores,own,1,skilled_employee,1,none,yes,1,2
38,greater_than_200_dm,10,existing_credits_paid_back_till_now,domestic_appliances,1225,less_than_100_dm,1_4_years,2,male_single,none,2,car_or_other,37,none,own,1,skilled_employee,1,yes,yes,0,1
39,0_to_200_dm,9,existing_credits_paid_back_till_now,radio_television,458,less_than_100_dm,1_4_years,4,male_single,none,3,real_estate,24,none,own,1,skilled_employee,1,none,yes,0,1
40,no_checking_account,30,existing_credits_paid_back_till_now,radio_television,2333,500_to_1000_dm,7_more_years,4,male_single,none,2,car_or_other,30,bank,own,1,management_self_employed_highly_qualified,1,none,yes,0,1
41,0_to_200_dm,12,existing_credits_paid_back_till_now,radio_television,1158,500_to_1000_dm,1_4_years,3,male_divorced_separated,none,1,car_or_other,26,none,own,1,skilled_employee,1,yes,yes,0,1
42,0_to_200_dm,18,delay_in_past,repairs,6204,less_than_100_dm,1_4_years,2,male_single,none,4,real_estate,44,none,own,1,unskilled_resident,2,yes,yes,0,1
43,less_than_0_dm,30,critical_account,car_used,6187,100_to_500_dm,4_7_years,1,male_married_widowed,none,4,car_or_other,24,none,rent,2,skilled_employee,1,none,yes,0,1
44,less_than_0_dm,48,critical_account,car_used,6143,less_than_100_dm,7_more_years,4,female_divorced_separated_married,none,4,unknown_or_no_property,58,stores,for_free,2,unskilled_resident,1,none,yes,1,2
45,no_checking_account,11,critical_account,car_new,1393,less_than_100_dm,0_1_year,4,female_divorced_separated_married,none,4,car_or_other,35,none,own,2,management_self_employed_highly_qualified,1,none,yes,0,1
46,no_checking_account,36,existing_credits_paid_back_till_now,radio_television,2299,500_to_1000_dm,7_more_years,4,male_single,none,4,car_or_other,39,none,own,1,skilled_employee,1,none,yes,0,1
47,less_than_0_dm,6,existing_credits_paid_back_till_now,car_used,1352,500_to_1000_dm,unemployed,1,female_divorced_separated_married,none,2,savings_agreement_life_insurance,23,none,rent,1,unemployed_unskilled_non_resident,1,yes,yes,0,1
48,no_checking_account,11,critical_account,car_new,7228,less_than_100_dm,1_4_years,1,male_single,none,4,savings_agreement_life_insurance,39,none,own,2,unskilled_resident,1,none,yes,0,1
49,no_checking_account,12,existing_credits_paid_back_till_now,radio_television,2073,100_to_500_dm,1_4_years,4,female_divorced_separated_married,co_applicant,2,real_estate,28,none,own,1,skilled_employee,1,none,yes,0,1
50,0_to_200_dm,24,delay_in_past,furniture_equipment,2333,unknown_or_no_savings_account,0_1_year,4,male_single,none,2,savings_agreement_life_insurance,29,bank,own,1,unskilled_resident,1,none,yes,0,1
51,0_to_200_dm,27,delay_in_past,car_used,5965,less_than_100_dm,7_more_years,1,male_single,none,2,car_or_other,30,none,own,2,management_self_employed_highly_qualified,1,yes,yes,0,1
52,no_checking_account,12,existing_credits_paid_back_till_now,radio_television,1262,less_than_100_dm,1_4_years,3,male_single,none,2,car_or_other,25,none,own,1,skilled_employee,1,none,yes,0,1
53,no_checking_account,18,existing_credits_paid_back_till_now,car_used,3378,unknown_or_no_savings_account,1_4_years,2,male_single,none,1,savings_agreement_life_insurance,31,none,own,1,skilled_employee,1,yes,yes,0,1
54,0_to_200_dm,36,delay_in_past,car_new,2225,less_than_100_dm,7_more_years,4,male_single,none,4,unknown_or_no_property,57,bank,for_free,2,skilled_employee,1,yes,yes,1,2
55,no_checking_account,6,all_credits_paid_back,car_new,783,unknown_or_no_savings_account,1_4_years,1,male_single,guarantor,2,real_estate,26,stores,own,1,unskilled_resident,2,none,yes,0,1
56,0_to_200_dm,12,existing_credits_paid_back_till_now,radio_television,6468,unknown_or_no_savings_account,unemployed,2,male_single,none,1,unknown_or_no_property,52,none,own,1,management_self_employed_highly_qualified,1,yes,yes,1,2
57,no_checking_account,36,critical_account,radio_television,9566,less_than_100_dm,1_4_years,2,female_divorced_separated_married,none,2,car_or_other,31,stores,own,2,skilled_employee,1,none,yes,0,1
58,greater_than_200_dm,18,existing_credits_paid_back_till_now,car_new,1961,less_than_100_dm,7_more_years,3,female_divorced_separated_married,none,2,car_or_other,23,none,own,1,management_self_employed_highly_qualified,1,none,yes,0,1
59,less_than_0_dm,36,critical_account,furniture_equipment,6229,less_than_100_dm,0_1_year,4,female_divorced_separated_married,co_applicant,4,unknown_or_no_property,23,none,rent,2,unskilled_resident,1,yes,yes,1,2
60,0_to_200_dm,9,existing_credits_paid_back_till_now,business,1391,less_than_100_dm,1_4_years,2,male_married_widowed,none,1,real_estate,27,bank,own,1,skilled_employee,1,yes,yes,0,1
61,0_to_200_dm,15,critical_account,radio_television,1537,unknown_or_no_savings_account,7_more_years,4,male_single,guarantor,4,real_estate,50,none,own,2,skilled_employee,1,yes,yes,0,1
62,0_to_200_dm,36,no_credits_taken,business,1953,less_than_100_dm,7_more_years,4,male_single,none,4,unknown_or_no_property,61,none,for_free,1,management_self_employed_highly_qualified,1,yes,yes,1,2
63,0_to_200_dm,48,no_credits_taken,business,14421,less_than_100_dm,1_4_years,2,male_single,none,2,car_or_other,25,none,own,1,skilled_employee,1,yes,yes,1,2
64,no_checking_account,24,existing_credits_paid_back_till_now,radio_television,3181,less_than_100_dm,0_1_year,4,female_divorced_separated_married,none,4,savings_agreement_life_insurance,26,none,own,1,skilled_employee,1,yes,yes,0,1
65,no_checking_account,27,existing_credits_paid_back_till_now,repairs,5190,unknown_or_no_savings_account,7_more_years,4,male_single,none,4,savings_agreement_life_insurance,48,none,own,4,skilled_employee,2,yes,yes,0,1
66,no_checking_account,12,existing_credits_paid_back_till_now,radio_television,2171,less_than_100_dm,0_1_year,2,female_divorced_separated_married,none,2,car_or_other,29,bank,own,1,skilled_employee,1,none,yes,0,1
67,0_to_200_dm,12,existing_credits_paid_back_till_now,car_new,1007,greater_than_1000_dm,1_4_years,4,male_married_widowed,none,1,real_estate,22,none,own,1,skilled_employee,1,none,yes,0,1
68,no_checking_account,36,existing_credits_paid_back_till_now,education,1819,less_than_100_dm,1_4_years,4,male_single,none,4,unknown_or_no_property,37,stores,for_free,1,skilled_employee,1,yes,yes,1,2
69,no_checking_account,36,existing_credits_paid_back_till_now,radio_television,2394,unknown_or_no_savings_account,1_4_years,4,female_divorced_separated_married,none,4,car_or_other,25,none,own,1,skilled_employee,1,none,yes,0,1
70,no_checking_account,36,existing_credits_paid_back_till_now,car_used,8133,less_than_100_dm,1_4_years,1,female_divorced_separated_married,none,2,savings_agreement_life_insurance,30,bank,own,1,skilled_employee,1,none,yes,0,1
71,no_checking_account,7,critical_account,radio_television,730,unknown_or_no_savings_account,7_more_years,4,male_single,none,2,savings_agreement_life_insurance,46,none,rent,2,unskilled_resident,1,yes,yes,0,1
72,less_than_0_dm,8,critical_account,others,1164,less_than_100_dm,7_more_years,3,male_single,none,4,unknown_or_no_property,51,bank,for_free,2,management_self_employed_highly_qualified,2,yes,yes,0,1
73,0_to_200_dm,42,critical_account,business,5954,less_than_100_dm,4_7_years,2,female_divorced_separated_married,none,1,real_estate,41,bank,own,2,unskilled_resident,1,none,yes,0,1
74,less_than_0_dm,36,existing_credits_paid_back_till_now,education,1977,unknown_or_no_savings_account,7_more_years,4,male_single,none,4,unknown_or_no_property,40,none,own,1,management_self_employed_highly_qualified,1,yes,yes,1,2
75,less_than_0_dm,12,critical_account,car_used,1526,less_than_100_dm,7_more_years,4,male_single,none,4,unknown_or_no_property,66,none,for_free,2,management_self_employed_highly_qualified,1,none,yes,0,1
76,less_than_0_dm,42,existing_credits_paid_back_till_now,radio_television,3965,less_than_100_dm,0_1_year,4,male_single,none,3,car_or_other,34,none,own,1,skilled_employee,1,none,yes,1,2
77,0_to_200_dm,11,delay_in_past,radio_television,4771,less_than_100_dm,4_7_years,2,male_single,none,4,savings_agreement_life_insurance,51,none,own,1,skilled_employee,1,none,yes,0,1
78,no_checking_account,54,no_credits_taken,car_used,9436,unknown_or_no_savings_account,1_4_years,2,male_single,none,2,savings_agreement_life_insurance,39,none,own,1,unskilled_resident,2,none,yes,0,1
79,0_to_200_dm,30,existing_credits_paid_back_till_now,furniture_equipment,3832,less_than_100_dm,0_1_year,2,male_married_widowed,none,1,savings_agreement_life_insurance,22,none,own,1,skilled_employee,1,none,yes,0,1
80,no_checking_account,24,existing_credits_paid_back_till_now,radio_television,5943,unknown_or_no_savings_account,0_1_year,1,female_divorced_separated_married,none,1,car_or_other,44,none,own,2,skilled_employee,1,yes,yes,1,2
